data_concerto,ora_concerto,nome_ambiente,indirizzo_ambiente,nome_citta,cap_citta,gruppo
2023-06-20,20:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Gwen Turcotte
2022-06-21,22:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Gwen Turcotte
2016-01-06,21:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Micaela Stark
2015-09-18,21:00:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Torrance Baumbach
2019-10-04,19:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Sven McKenzie
2018-03-14,19:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Turner Lebsack
2020-04-03,23:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Bernadette Stark
2025-07-29,20:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Omer Berge
2023-05-01,22:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Maximilian Rice
2016-10-01,21:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Billy Anderson
2020-05-31,19:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Okey Dietrich
2018-05-27,19:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Braeden Mayert
2017-02-16,20:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Tressa Johns
2019-10-04,22:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Shanelle Beier
2021-10-18,19:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Zane Bode
2024-05-08,19:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Alexandra Yundt
2017-05-23,20:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Blaise Bradtke
2025-07-12,19:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Harmon Walter
2025-04-05,23:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Lexus Cole
2023-11-25,18:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Patrick Rutherford
2018-03-18,20:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Amelia Cruickshank
2018-05-03,19:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Omer Berge
2021-08-01,22:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Hollie Feil
2025-05-10,19:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Alda Boehm
2024-08-12,19:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Alda Boehm
2024-12-24,18:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Elliot Mertz
2021-02-19,19:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Forest Bins
2025-05-06,23:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Maureen Macejkovic
2017-02-10,18:30:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Maureen Macejkovic
2023-06-07,18:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Harmon Walter
2023-03-21,19:00:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Billy Anderson
2019-12-07,21:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Micaela Stark
2023-08-23,23:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Olga Goldner
2017-09-08,18:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Bernadette Stark
2018-10-20,23:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Maureen Macejkovic
2020-07-12,22:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Billy Anderson
2016-12-18,22:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Okey Dietrich
2021-07-18,20:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Maureen Macejkovic
2025-08-01,21:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Freeda Corkery
2022-02-18,19:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Olga Goldner
2022-12-20,22:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Hipolito Littel
2021-09-10,21:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Beau Gibson
2019-03-27,18:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Zane Bode
2019-04-19,23:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Tressa Johns
2019-04-09,18:00:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Sabryna Abbott
2020-08-21,23:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Hipolito Littel
2018-10-29,18:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Bernadette Stark
2015-12-16,23:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Francesco Macejkovic
2018-06-25,19:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Sven McKenzie
2018-10-17,19:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Sabryna Abbott
2016-07-09,18:00:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Alexandra Yundt
2020-07-27,18:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Veronica Miller
2018-06-18,19:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Blaise Bradtke
2018-11-04,21:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Melvina Welch
2021-09-10,21:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Freeda Corkery
2017-01-05,21:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Harmon Walter
2023-04-15,21:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Patrick Rutherford
2022-07-12,21:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Billy Anderson
2015-12-10,18:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Omer Berge
2019-05-26,18:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Alda Boehm
2022-04-14,23:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Francesco Macejkovic
2019-08-17,23:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Tressa Johns
2021-07-23,23:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Elliot Mertz
2015-11-22,19:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Keira Wisozk
2018-09-01,22:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Melvina Welch
2021-03-18,20:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Maximilian Rice
2016-06-13,21:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Billy Anderson
2023-11-13,19:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Zane Bode
2019-06-21,18:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Neoma Gusikowski
2022-08-20,19:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Maureen Macejkovic
2016-12-17,20:30:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Emelia Friesen
2021-05-26,20:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Rose Herzog
2018-03-16,18:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Neoma Gusikowski
2025-06-20,21:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Camden Schiller
2023-10-08,22:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Lance Marquardt
2023-12-09,19:30:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Micaela Stark
2018-11-11,18:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Elliot Mertz
2020-06-21,20:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Alexandra Yundt
2017-05-26,18:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Hipolito Littel
2022-02-17,19:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Rose Herzog
2019-09-18,20:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Elliot Mertz
2020-12-15,21:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Gwen Turcotte
2017-03-22,22:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Maximilian Rice
2018-02-10,18:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Brittany Morissette
2023-04-07,18:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Olga Goldner
2016-04-10,22:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Virginia Sauer
2025-04-01,19:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Patrick Rutherford
2025-06-30,21:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Gwen Turcotte
2021-06-03,18:30:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Blaise Bradtke
2016-03-06,18:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Vincenza Quigley
2017-08-07,21:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Olga Goldner
2018-09-09,19:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Braeden Mayert
2021-05-01,22:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Billy Anderson
2016-12-14,22:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Torrance Baumbach
2021-07-07,20:00:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Bernadette Stark
2021-04-30,23:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Lexus Cole
2023-07-31,19:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Brittany Morissette
2015-12-25,23:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Sven McKenzie
2023-01-23,20:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Alda Boehm
2015-08-31,22:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Omer Berge
2017-06-12,22:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Turner Lebsack
2024-05-31,20:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Braeden Mayert
2025-06-16,21:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Vallie Hayes
2022-08-31,22:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Amelia Cruickshank
2021-04-04,23:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Lexus Cole
2019-09-17,18:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Francesco Macejkovic
2021-03-08,22:00:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Freeda Corkery
2024-01-24,19:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Turner Lebsack
2021-09-10,20:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Hipolito Littel
2024-01-05,23:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Patrick Rutherford
2017-11-21,20:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Freeda Corkery
2023-12-14,18:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Zane Bode
2020-12-21,19:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Veronica Miller
2024-12-05,21:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Maximilian Rice
2023-07-17,22:30:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Veronica Miller
2018-05-16,21:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Bernadette Stark
2015-11-06,19:00:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Okey Dietrich
2018-06-04,22:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Maximilian Rice
2020-02-26,21:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Vincenza Quigley
2017-03-14,20:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Alexandra Yundt
2019-06-07,21:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Tressa Johns
2024-11-17,23:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Elliot Mertz
2024-05-23,18:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Camden Schiller
2018-01-07,23:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Lexus Cole
2017-08-10,18:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Antone Ortiz
2020-08-22,22:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Francesco Macejkovic
2025-05-09,19:30:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Emelia Friesen
2017-12-22,20:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Tressa Johns
2016-12-05,19:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Patrick Rutherford
2017-11-15,22:30:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Keira Wisozk
2022-03-08,22:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Vincenza Quigley
2021-08-31,21:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Shanelle Beier
2021-06-15,23:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Hollie Feil
2023-02-07,21:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Gwen Turcotte
2023-11-25,20:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Torrance Baumbach
2022-02-14,22:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Alexandra Yundt
2025-04-09,21:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Maureen Macejkovic
2022-12-13,23:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Blaise Bradtke
2022-05-14,19:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Turner Lebsack
2024-09-02,20:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Keira Wisozk
2018-09-21,22:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Shanelle Beier
2015-12-15,23:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Isabella Towne
2023-03-19,18:00:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Blaise Bradtke
2018-02-18,18:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Keira Wisozk
2018-12-17,21:30:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Torrance Baumbach
2020-05-06,23:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Turner Lebsack
2023-12-22,20:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Antone Ortiz
2024-12-05,21:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Omer Berge
2023-07-16,20:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Tate Denesik
2018-08-05,21:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Lance Marquardt
2015-11-10,18:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Tressa Johns
2017-07-28,23:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Sabryna Abbott
2022-01-26,21:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Rose Herzog
2015-09-04,20:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Torrance Baumbach
2024-12-05,19:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Freeda Corkery
2025-05-31,22:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Tate Denesik
2021-01-12,18:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Beau Gibson
2018-06-01,20:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Omer Berge
2017-12-14,21:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Vallie Hayes
2016-01-10,23:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Hipolito Littel
2021-09-05,19:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Anita Rippin
2020-12-12,22:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Okey Dietrich
2023-12-23,19:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Omer Berge
2017-09-15,23:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Alda Boehm
2018-05-02,19:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Okey Dietrich
2018-10-11,22:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Lilyan Bins
2020-01-18,18:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Tressa Johns
2020-08-22,22:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Tate Denesik
2017-02-22,19:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Sabryna Abbott
2017-08-21,22:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Veronica Miller
2020-01-22,23:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Beau Gibson
2016-01-13,23:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Beau Gibson
2021-07-26,18:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Lexus Cole
2022-12-13,23:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Hollie Feil
2022-12-01,23:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Antone Ortiz
2025-05-09,22:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Omer Berge
2024-03-10,19:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Turner Lebsack
2017-01-05,21:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Lance Marquardt
2018-06-01,20:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Hipolito Littel
2017-08-11,21:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Gwen Turcotte
2020-11-01,23:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Forest Bins
2025-07-06,21:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Lilyan Bins
2022-08-09,19:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Vincenza Quigley
2021-05-25,18:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Alexandra Yundt
2025-01-27,21:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Vallie Hayes
2024-10-12,19:30:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Anita Rippin
2017-05-19,18:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Torrance Baumbach
2020-10-10,19:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Maximilian Rice
2022-06-04,20:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Patrick Rutherford
2016-10-11,22:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Alexandra Yundt
2022-05-01,18:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Vallie Hayes
2018-08-23,19:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Melvina Welch
2016-12-01,20:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Camden Schiller
2016-04-26,23:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Zane Bode
2020-08-11,20:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Lexus Cole
2023-12-09,19:30:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Alexandra Yundt
2022-09-28,18:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Tressa Johns
2024-06-08,23:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Anita Rippin
2022-01-12,18:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Anita Rippin
2018-02-04,18:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Alexandra Yundt
2023-10-29,19:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Turner Lebsack
2021-10-29,20:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Lilyan Bins
2017-12-01,21:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Sven McKenzie
2022-10-06,19:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Shanelle Beier
2023-11-04,20:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Tate Denesik
2019-06-21,19:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Blaise Bradtke
2022-05-30,19:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Virginia Sauer
2022-01-24,19:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Freeda Corkery
2017-10-30,20:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Francesco Macejkovic
2024-10-16,21:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Virginia Sauer
2024-04-09,18:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Turner Lebsack
2018-07-16,23:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Freeda Corkery
2024-02-07,18:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Shanelle Beier
2019-12-05,20:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Emelia Friesen
2019-09-07,18:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Lilyan Bins
2024-01-19,23:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Amelia Cruickshank
2019-07-16,23:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Vallie Hayes
2022-03-10,18:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Alexandra Yundt
2018-03-30,23:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Dessie Daugherty
2024-11-01,22:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Sabryna Abbott
2025-01-01,19:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Emelia Friesen
