data_concerto,ora_concerto,nome_ambiente,indirizzo_ambiente,nome_citta,cap_citta,artista
2019-03-21,22:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Jaquan Goldner
2025-05-20,20:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Dahlia Maggio
2024-07-15,21:30:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Victoria Hodkiewicz
2023-08-15,19:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Graciela Kuvalis
2024-12-08,23:30:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Raegan Purdy
2019-10-21,19:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Morris Hermann
2018-08-21,23:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Nellie Schowalter
2021-10-18,22:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Brannon Upton
2017-05-26,18:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Gideon Pacocha
2025-06-03,22:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Taya Dicki
2018-08-16,20:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Fatima Murazik
2020-01-11,18:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Leif Huel
2021-07-18,21:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Ima Hilpert
2022-02-25,22:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Gayle Walker
2017-07-15,20:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Wilson Stracke
2017-02-16,22:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Jaden Gutmann
2025-06-25,23:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Terrance Robel
2016-06-24,22:30:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Edmond Bosco
2017-07-19,21:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Burdette Ankunding
2016-05-15,22:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Vivien Thiel
2018-07-24,22:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Dedrick Schiller
2016-11-12,23:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Taya Dicki
2020-03-23,19:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Taylor Hessel
2023-12-10,18:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Ben Abbott
2018-11-13,19:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Edmond Bosco
2017-02-03,21:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Madonna Veum
2017-03-06,20:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Yasmine Treutel
2016-10-19,22:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Jazlyn Little
2017-03-24,22:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Beau Vandervort
2018-02-28,20:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Aron Dietrich
2024-02-29,21:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Kasey Weissnat
2023-10-26,21:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Dale Beer
2019-03-20,21:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Shania Greenholt
2017-11-12,22:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Charity Hills
2018-06-07,20:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Elinor Predovic
2024-07-07,21:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Karina Muller
2021-10-03,21:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Ova Collins
2017-12-28,18:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Tyreek Padberg
2018-12-31,20:00:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Dale Beer
2018-11-04,23:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Leif Huel
2022-01-03,21:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Mike Herman
2015-11-09,23:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Neil Rath
2017-11-24,23:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Gideon Pacocha
2023-02-04,22:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Kayla McLaughlin
2015-12-10,23:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Lempi Streich
2020-02-23,22:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Yasmine Treutel
2019-09-30,22:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Gayle Walker
2025-05-22,22:30:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Shanny Konopelski
2024-08-26,20:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Gage Fisher
2023-08-14,22:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Mike Herman
2015-12-28,18:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Ben Abbott
2017-03-27,20:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Elinor Predovic
2021-10-07,20:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Kasey Weissnat
2017-05-30,19:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Ova Collins
2023-10-24,19:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Taylor Hessel
2024-09-27,23:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Tomasa Waters
2025-05-07,22:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Ludwig Cummings
2020-05-31,22:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Casimer Morar
2017-02-10,21:30:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Jazlyn Little
2018-05-14,20:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Mike Herman
2017-07-20,20:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Hailey Schroeder
2017-10-14,21:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Ernesto Zboncak
2017-05-26,23:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Golda Donnelly
2024-06-27,18:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Webster Schroeder
2025-04-11,21:30:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Eveline Boyer
2022-01-06,22:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Shania Greenholt
2022-08-03,19:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Dale Beer
2016-05-22,19:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Ludwig Cummings
2017-10-29,23:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Nelda Hermann
2015-08-19,22:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Elisa Wehner
2021-12-25,19:30:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Bridgette Breitenberg
2022-02-03,19:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Graciela Kuvalis
2021-10-22,20:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Ernestina Leffler
2017-05-27,21:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Deven Ferry
2019-01-06,19:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Cheyanne Feil
2017-03-02,21:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Ernesto Zboncak
2018-11-30,21:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Vicenta Nitzsche
2021-10-14,19:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Raegan Purdy
2020-07-01,19:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Taylor Hessel
2018-01-31,20:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Osvaldo Hyatt
2021-03-17,20:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Wilson Stracke
2021-09-19,21:00:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Clint Brakus
2020-03-16,20:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Nelda Hermann
2023-11-13,22:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Kasey Weissnat
2019-08-20,19:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Yasmine Treutel
2021-10-18,18:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Dedrick Schiller
2017-01-18,22:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Ernesto Zboncak
2016-10-08,23:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Dale Beer
2021-05-11,18:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Jazlyn Little
2022-07-09,19:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Eveline Boyer
2023-02-06,18:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Edmond Bosco
2022-08-19,20:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Tyreek Padberg
2021-08-17,23:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Lia Christiansen
2023-02-12,19:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Beau Vandervort
2017-09-02,19:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Leif Huel
2017-06-08,20:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Casimer Morar
2018-06-29,18:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Dedrick Schiller
2017-08-16,18:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Willow Kling
2024-04-02,18:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Gage Fisher
2020-10-21,19:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Nelda Hermann
2021-11-06,20:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Courtney Satterfield
2021-02-25,20:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Jazlyn Little
2021-10-17,21:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Vivien Thiel
2022-01-26,21:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Madge Kuphal
2016-12-14,20:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Shanny Konopelski
2019-03-20,21:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Lia Christiansen
2015-08-31,22:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Lionel Pfannerstill
2019-10-30,22:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Tyreek Padberg
2018-09-20,20:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Ben Abbott
2025-04-07,19:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Willow Kling
2025-01-07,22:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Tyreek Padberg
2022-01-26,21:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Kirsten Weissnat
2019-08-19,20:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Dale Beer
2025-02-12,18:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Kian Cremin
2022-12-25,19:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Madge Kuphal
2023-08-07,19:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Blanca Langosh
2019-12-12,23:00:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Shania Greenholt
2023-06-20,20:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Burdette Ankunding
2022-01-25,18:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Willy Heller
2019-11-12,18:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Torrance Howell
2023-07-15,22:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Stefan Welch
2018-04-29,22:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Sammie Dicki
2019-11-06,22:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Kian Cremin
2017-07-14,18:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Victoria Hodkiewicz
2016-02-20,23:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Shanny Konopelski
2018-11-30,18:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Eveline Boyer
2024-09-26,22:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Madonna Veum
2021-11-01,18:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Orlo Simonis
2025-04-05,18:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Edmond Bosco
2017-03-05,19:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Taya Dicki
2016-11-01,23:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Cheyanne Feil
2019-01-01,19:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Shanny Konopelski
2023-03-22,19:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Stefan Welch
2017-02-14,18:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Kayla McLaughlin
2022-06-22,21:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Burdette Ankunding
2024-06-27,18:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Kayla McLaughlin
2019-01-26,23:30:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Madge Kuphal
2018-12-07,19:00:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Vivien Thiel
2023-09-01,19:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Elenora Steuber
2021-10-24,22:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Ernestina Leffler
2024-03-06,23:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Ben Abbott
2016-11-26,19:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Gabe Morar
2021-01-13,21:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Yasmine Treutel
2020-06-28,21:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Cheyanne Feil
2025-01-01,19:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Madge Kuphal
2018-07-28,23:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Hailey Schroeder
2023-12-25,18:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Neil Rath
2023-09-18,20:30:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Beau Vandervort
2017-09-06,23:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Cheyanne Feil
2017-02-03,21:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Robert Dietrich
2019-12-26,20:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Ariel Tillman
2020-01-12,23:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Ben Abbott
2022-02-03,19:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Taya Dicki
2021-05-25,19:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Aron Dietrich
2019-09-17,22:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Madge Kuphal
2018-06-24,18:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Annie Lesch
2016-07-07,20:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Deven Ferry
2017-04-03,21:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Louvenia Beer
2017-04-25,20:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Yasmine Treutel
2025-07-28,18:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Willow Kling
2022-07-05,23:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Morris Hermann
2016-09-11,19:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Annie Lesch
2016-10-01,21:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Victoria Hodkiewicz
2020-01-22,23:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Gabe Morar
2018-06-19,23:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Edmond Bosco
2024-01-05,23:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Bonita Larson
2025-01-07,22:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Narciso Stiedemann
2020-01-18,20:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Raegan Purdy
2016-02-26,22:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Dahlia Maggio
2025-03-11,22:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Raegan Purdy
2020-11-19,20:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Louvenia Beer
2022-10-27,20:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Ova Collins
2025-07-04,23:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Charity Hills
2020-11-06,22:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Hailey Schroeder
2019-06-27,22:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Terrance Robel
2021-01-12,19:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Gabe Morar
2021-02-25,20:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Lia Christiansen
2019-04-26,20:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Elenora Steuber
2021-08-02,23:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Tommie Reynolds
2023-08-17,19:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Golda Donnelly
2025-04-29,18:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Narciso Stiedemann
2023-12-17,18:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Aron Dietrich
2017-03-23,22:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Mike Herman
2018-03-31,19:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Gage Fisher
2015-09-29,23:30:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Jazlyn Little
2023-05-30,19:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Antonietta Bernhard
2023-05-24,19:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Taya Dicki
2025-07-16,19:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Noelia Schamberger
2022-12-13,23:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Aron Dietrich
2021-04-01,23:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Casimer Morar
2018-11-23,23:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Lia Christiansen
2020-06-11,23:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Jenifer Kuvalis
2022-02-21,20:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Ariel Tillman
2022-09-29,18:00:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Taya Dicki
2023-07-22,20:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Vince Kozey
2019-05-08,21:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Sammie Dicki
2019-09-17,22:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Vince Kozey
2017-02-16,21:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Louvenia Beer
2019-11-15,23:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Bonita Larson
2016-12-19,23:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Orlo Simonis
2022-06-21,22:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Courtney Satterfield
2018-08-05,21:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Jazlyn Little
2024-07-20,19:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Aron Dietrich
2016-02-08,22:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Taylor Hessel
2016-08-31,18:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Shanny Konopelski
2017-01-18,22:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Lionel Pfannerstill
2024-05-11,19:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Terrance Robel
2021-10-01,18:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Wilson Stracke
2023-09-27,23:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Archibald Pacocha
2025-02-09,23:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Yasmine Treutel
2016-10-27,21:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Ima Hilpert
2020-07-01,22:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Casimer Morar
2020-06-20,18:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Francisca Monahan
2023-04-13,19:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Nellie Schowalter
2015-09-11,19:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Akeem Blanda
2022-08-25,20:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Torrance Howell
2022-04-14,23:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Bridgette Breitenberg
2018-03-14,18:00:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Terrance Robel
2024-04-17,22:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Eva Stehr
2025-06-03,18:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Kasey Weissnat
